"household_id","province","district","urban_rural","region","household_size","income","expenditure","education","satisfaction","has_internet","num_children"
1,"Prov_08","Prov_08_Kab_03","Rural","Sulawesi",5,47427,29782,"SD",3,1,2
2,"Prov_03","Prov_03_Kab_01","Urban","Jawa",1,151293,93383,"SMA",3,1,0
3,"Prov_06","Prov_06_Kab_02","Rural","Kalimantan",2,125938,108408,"SMP",4,0,1
4,"Prov_06","Prov_06_Kab_02","Urban","Kalimantan",3,144009,118337,"SD",2,1,1
5,"Prov_04","Prov_04_Kab_05","Urban","Sumatera",6,204267,149221,"SMP",5,1,2
6,"Prov_06","Prov_06_Kab_02","Urban","Kalimantan",4,244547,164502,"S2+",4,1,3
7,"Prov_03","Prov_03_Kab_05","Urban","Jawa",12,136803,83625,"SMA",3,1,2
8,"Prov_02","Prov_02_Kab_05","Urban","Jawa",2,436716,267845,"SMP",4,1,0
9,"Prov_08","Prov_08_Kab_02","Urban","Sulawesi",5,131549,114178,"SD",2,0,1
10,"Prov_01","Prov_01_Kab_01","Urban","Jawa",3,206950,145271,"SMA",4,0,0
11,"Prov_09","Prov_09_Kab_05","Urban","Sulawesi",3,80178,50073,"S2+",3,1,0
12,"Prov_10","Prov_10_Kab_02","Rural","Indonesia Timur",2,41821,31267,"D3",2,0,0
13,"Prov_06","Prov_06_Kab_05","Rural","Kalimantan",4,248420,183360,"SD",3,1,1
14,"Prov_04","Prov_04_Kab_04","Rural","Sumatera",2,79150,71859,"S1",5,1,1
15,"Prov_04","Prov_04_Kab_02","Rural","Sumatera",5,71308,47812,"S1",2,1,0
16,"Prov_08","Prov_08_Kab_05","Rural","Sulawesi",4,56534,33911,"SD",4,0,2
17,"Prov_01","Prov_01_Kab_01","Rural","Jawa",5,66972,39596,"S1",2,0,2
18,"Prov_08","Prov_08_Kab_02","Urban","Sulawesi",1,107819,72241,"D3",2,1,0
19,"Prov_01","Prov_01_Kab_04","Urban","Jawa",3,148292,93594,"D3",3,1,0
20,"Prov_02","Prov_02_Kab_04","Urban","Jawa",3,156199,93840,"SMA",4,1,0
21,"Prov_01","Prov_01_Kab_03","Urban","Jawa",2,602357,334133,"SMA",3,1,1
22,"Prov_01","Prov_01_Kab_01","Rural","Jawa",4,79675,57559,"SMA",3,0,2
23,"Prov_06","Prov_06_Kab_05","Urban","Kalimantan",5,66383,40855,"SD",3,1,0
24,"Prov_08","Prov_08_Kab_03","Rural","Sulawesi",5,26857,24364,"SMP",2,1,0
25,"Prov_07","Prov_07_Kab_02","Rural","Kalimantan",2,66924,54324,"SMA",3,0,1
26,"Prov_02","Prov_02_Kab_01","Urban","Jawa",3,163847,106635,"SMA",3,1,2
27,"Prov_05","Prov_05_Kab_03","Urban","Sumatera",1,158318,140974,"SMA",4,1,0
28,"Prov_07","Prov_07_Kab_05","Rural","Kalimantan",5,221391,168657,"SD",4,1,2
29,"Prov_01","Prov_01_Kab_05","Rural","Jawa",6,194633,176831,"S1",4,0,2
30,"Prov_01","Prov_01_Kab_02","Rural","Jawa",3,26402,21163,"SMA",3,0,1
31,"Prov_04","Prov_04_Kab_01","Rural","Sumatera",4,60355,43861,"D3",2,0,1
